Category,Materials/binder,Pure/Mixture,Second component in mixtures,More mixted,Third component in mixtures,Label in GT,R,G,B,,,
Pigment in mock-ups,Macerated chambronera berries - no binder,,,,,120,40,79,17,,,
Pigment in mock-ups,Macerated chambronera berries - Gum arabic,,,,,121,115,170,17,,,
Pigment in mock-ups,Indigo - Gum arabic,,,,,122,35,57,91,,,
,Material unknown 7,,,,,249,125,125,125,,,
,Material unknown 6,,,,,250,25,25,25,,,
,Material unknown 5,,,,,251,220,220,220,,,
,Material unknown 4,,,,,252,190,190,190,,,
,Material unknown 3,,,,,253,150,150,150,,,
,Material unknown 2,,,,,254,100,100,100,,,
,Material unknown 1,,,,,255,50,50,50,,,
