Wavelength_nm,AZURITE EF Glair,AZURITE EF GA,BUCKTHORN Pure,BURNT UMBER Glair,BURNT UMBER GA,CALCITE Glair,CALCITE GA,CARMINE GA,CINNABAR Glair,CINNABAR GA,GAMBOGE GA,HEMATITE Glair,INDIGO GA,INDIAN YELLOW INK,LAPISLAZULI Glair,LAPISLAZULI GA,LEAD TIN YELLOW Glair,LEAD TIN YELLOW GA,LEAD WHITE Glair,LEAD WHITE GA,MINIUM Glair,MINIUM GA,MALACHITE Glair,MALACHITE GA,YELLOW OCKER Glair,YELLOW OCKER GA,ORPIMENT Glair,ORPIMENT GA,SAFFRON GA,SMALT Glair,SMALT GA,VERDIGRIS Glair,VERDIGRIS GA
2531.018774,0.30017,0.0208888,0.287478,0.768996,0.306203,0.0669473,0.32122,0.560336,0.0104664,0.225476,0.246687,0.403826,0.26741,0.326635,0.356918,0.0842137,0.270348,0.420833,0.201979,0.225682,0.0322699,0.184421,0.319022,0.163179,0.529293,0.380746,0.0120555,0.127819,0.0908561,0.110427,0.171891,0.614339,0.609704
2532.213214,0.298562,0.0190057,0.288225,0.767706,0.302974,0.0661715,0.322151,0.557712,0.0100282,0.224225,0.242332,0.40301,0.264811,0.322819,0.356729,0.0815917,0.269643,0.418725,0.20248,0.223568,0.0311999,0.184028,0.318597,0.16217,0.526424,0.376498,0.0113851,0.12788,0.0881955,0.109126,0.170286,0.602989,0.598703
2533.408782,0.298142,0.0179371,0.288722,0.768105,0.300149,0.0660048,0.322685,0.555876,0.0088547,0.222832,0.236923,0.402111,0.260945,0.320687,0.356347,0.0801449,0.269332,0.417756,0.203236,0.223466,0.0299309,0.182851,0.319158,0.160281,0.523635,0.372743,0.0106608,0.126909,0.0870824,0.108918,0.169693,0.590763,0.587448
2534.605479,0.298027,0.0157284,0.28846,0.769231,0.297802,0.068092,0.320709,0.555426,0.00811675,0.221189,0.231068,0.401222,0.256343,0.318912,0.355917,0.0792914,0.270238,0.415653,0.203029,0.223456,0.0295639,0.18021,0.319903,0.158363,0.521084,0.370079,0.0104076,0.124724,0.0868067,0.108292,0.167477,0.578958,0.574658
2535.803308,0.298589,0.0128722,0.2876,0.77066,0.295897,0.0711374,0.318138,0.55603,0.00858134,0.220294,0.229114,0.401498,0.254117,0.318635,0.355798,0.0790612,0.271922,0.414588,0.202905,0.224307,0.0310022,0.179426,0.320589,0.158424,0.521422,0.36873,0.00942117,0.122332,0.0865477,0.106805,0.164232,0.570458,0.564935
2537.002269,0.298931,0.0108477,0.28553,0.771504,0.294482,0.0730518,0.314384,0.556287,0.00955589,0.220017,0.226405,0.401443,0.253591,0.318158,0.35607,0.0789322,0.274059,0.41376,0.201112,0.224906,0.0320441,0.178698,0.321151,0.159257,0.522145,0.365895,0.00820224,0.120197,0.0866214,0.105348,0.159833,0.562071,0.557528
2538.202365,0.298425,0.010028,0.283165,0.771774,0.29573,0.0753698,0.310938,0.556331,0.0109351,0.220581,0.223427,0.400991,0.25388,0.317748,0.357121,0.0787368,0.276022,0.41466,0.199323,0.225836,0.0325222,0.17661,0.321982,0.160314,0.521941,0.361494,0.00783482,0.119011,0.0859611,0.104758,0.157048,0.55454,0.553086
2539.403597,0.297248,0.00887759,0.279269,0.770263,0.295932,0.07571,0.308251,0.55635,0.0122061,0.220023,0.221674,0.400173,0.252212,0.317081,0.357475,0.0766714,0.276296,0.415223,0.196343,0.224417,0.0332028,0.17333,0.322639,0.159777,0.521738,0.355105,0.00649418,0.117557,0.0824415,0.102901,0.154314,0.545909,0.547833
2540.605966,0.29744,0.0078965,0.275626,0.768865,0.295595,0.07507,0.306656,0.55614,0.0122324,0.218888,0.222206,0.400226,0.25042,0.316515,0.358445,0.0742609,0.276065,0.416677,0.19369,0.221856,0.0344897,0.171389,0.322929,0.159505,0.522612,0.350734,0.00579575,0.116997,0.0805001,0.10075,0.150813,0.536879,0.542848
2541.809474,0.298227,0.00808418,0.272555,0.768316,0.293814,0.0755786,0.304726,0.555486,0.011206,0.217845,0.222275,0.400884,0.248821,0.313694,0.359419,0.0734919,0.276371,0.418056,0.193517,0.219689,0.0353059,0.169546,0.322908,0.159803,0.522729,0.348199,0.00662374,0.116265,0.0794906,0.0982421,0.147531,0.528572,0.537814
2543.014123,0.299,0.00905354,0.27095,0.769124,0.29067,0.0767429,0.303869,0.555121,0.0110097,0.217681,0.224797,0.401402,0.24924,0.309512,0.359762,0.0742071,0.276982,0.418673,0.19517,0.218337,0.036617,0.167646,0.322889,0.160242,0.522623,0.349575,0.00783952,0.115055,0.0770825,0.0967857,0.145461,0.522895,0.534609
2544.219915,0.29939,0.00985759,0.268413,0.769341,0.285926,0.0770266,0.301273,0.553212,0.0107117,0.215915,0.227036,0.401829,0.249592,0.305878,0.359045,0.073237,0.276447,0.415832,0.194829,0.216565,0.0366359,0.165157,0.322388,0.159492,0.522242,0.350527,0.00790727,0.113484,0.0732592,0.0948022,0.142673,0.517714,0.529091
2545.42685,0.299675,0.0110705,0.267488,0.769069,0.282171,0.078154,0.300497,0.550089,0.0108877,0.214348,0.228569,0.402628,0.249923,0.303085,0.359176,0.0707657,0.276346,0.411961,0.195164,0.216135,0.0362834,0.164254,0.321865,0.158816,0.521826,0.350827,0.00838557,0.112546,0.0723832,0.0934952,0.139447,0.513874,0.524281
2546.634931,0.299472,0.0119756,0.267619,0.768961,0.27919,0.078333,0.300658,0.546735,0.0113172,0.21341,0.227873,0.402275,0.250637,0.298692,0.359625,0.0687322,0.276693,0.40682,0.196543,0.214752,0.0361934,0.162551,0.321827,0.157068,0.520927,0.348594,0.00919805,0.110914,0.0710107,0.0917698,0.135361,0.511019,0.520393
2547.844159,0.300013,0.0127149,0.268002,0.769379,0.27781,0.0772593,0.30034,0.543887,0.0119666,0.212913,0.224872,0.401789,0.25128,0.294693,0.359651,0.0676286,0.276217,0.402563,0.198593,0.212001,0.0366598,0.161182,0.321912,0.154429,0.520035,0.346521,0.0102998,0.109952,0.0691099,0.0909421,0.131812,0.509096,0.51639
2549.054537,0.301192,0.0132131,0.268578,0.768753,0.275195,0.0741296,0.298478,0.541175,0.0110097,0.211584,0.218787,0.401734,0.250124,0.291464,0.358443,0.0667987,0.274706,0.397219,0.199029,0.208962,0.0351189,0.159067,0.322178,0.150831,0.516857,0.343822,0.00912562,0.109122,0.0662788,0.0895577,0.128425,0.506329,0.511116
2550.266065,0.30291,0.0144614,0.268795,0.769934,0.27386,0.0711322,0.29666,0.540344,0.0100094,0.210119,0.213611,0.40312,0.250432,0.289926,0.35743,0.0672454,0.274986,0.394035,0.199928,0.208772,0.0333451,0.156858,0.32276,0.148296,0.513771,0.343348,0.00818001,0.108585,0.0653004,0.0878661,0.126695,0.504417,0.50639
2551.478745,0.304663,0.0158156,0.268079,0.771829,0.272585,0.0692817,0.294524,0.540582,0.00964199,0.208532,0.209509,0.403993,0.250773,0.287922,0.356891,0.066843,0.276536,0.391792,0.200586,0.209616,0.0325081,0.1545,0.323145,0.147551,0.512008,0.342549,0.00778797,0.107959,0.0638513,0.0860012,0.123948,0.503709,0.501546
2552.692578,0.306585,0.0174129,0.266388,0.773156,0.272461,0.0675391,0.291626,0.540842,0.00992453,0.208079,0.207162,0.404633,0.250443,0.287097,0.358216,0.0656581,0.279161,0.392756,0.200914,0.211034,0.0322083,0.154763,0.323993,0.149044,0.514175,0.34234,0.00804864,0.108022,0.0639771,0.0864155,0.12111,0.503927,0.500462
2553.907568,0.308631,0.0185619,0.263634,0.774144,0.27303,0.064832,0.286023,0.540958,0.0108302,0.208203,0.202334,0.404541,0.249029,0.286484,0.360221,0.0642792,0.282574,0.39599,0.20094,0.211884,0.0319654,0.156475,0.325591,0.1511,0.516951,0.341511,0.0101437,0.108873,0.0649363,0.0879984,0.117417,0.502415,0.500657
2555.123714,0.310609,0.0187125,0.261237,0.775186,0.274259,0.0634195,0.281023,0.541226,0.0121904,0.20908,0.198698,0.404564,0.246485,0.286488,0.361846,0.0625462,0.285021,0.399903,0.202155,0.213413,0.0321363,0.158161,0.327031,0.152777,0.519003,0.339594,0.0129713,0.109893,0.0656884,0.0887697,0.115813,0.499732,0.50044
2556.341019,0.312336,0.017536,0.258639,0.773951,0.274479,0.0599289,0.276256,0.540685,0.0123726,0.209165,0.196018,0.404587,0.241323,0.287312,0.361781,0.0593901,0.28604,0.402234,0.202144,0.212173,0.0327123,0.159039,0.327266,0.153387,0.520081,0.334955,0.0134859,0.109963,0.0652696,0.0869937,0.114177,0.495042,0.498581
2557.559485,0.313928,0.0165394,0.256782,0.771629,0.27509,0.0548506,0.272235,0.539549,0.011123,0.207841,0.193711,0.404137,0.235993,0.287738,0.361716,0.0563024,0.286698,0.403529,0.201478,0.208629,0.0335797,0.159282,0.327459,0.154278,0.520481,0.331714,0.0134034,0.109401,0.065589,0.0854212,0.112309,0.490296,0.496606
2558.779113,0.314135,0.0167709,0.255208,0.770238,0.273789,0.0500294,0.269234,0.538321,0.009771,0.206402,0.19172,0.402393,0.232103,0.285153,0.361671,0.0542616,0.286717,0.401275,0.199941,0.20487,0.0333536,0.156804,0.327829,0.15322,0.518322,0.330241,0.0125593,0.10769,0.0643404,0.0832267,0.110248,0.485098,0.494914
