Wavelength_nm,AZURITE - GAMBOGE GA on Paper,AZURITE - GAMBOGE GA on Parchment,AZURITE - LEAD WHITE Glair on Paper,AZURITE - LEAD WHITE Glair on Parchment,AZURITE - LEAD WHITE GA on Paper,AZURITE - LEAD WHITE GA on Parchment,CARMINE - GAMBOGE GA on Paper,CARMINE - GAMBOGE GA on Parchment,CARMINE - LEAD WHITE GA on Paper,CARMINE - LEAD WHITE GA on Parchment,CINNABAR - LEAD TIN YELLOW - LEAD WHITE Glair on Paper,CINNABAR - LEAD TIN YELLOW - LEAD WHITE Glair on Parchment,CINNABAR - LEAD TIN-YELLOW - LEAD WHITE GA on Paper,CINNABAR - LEAD TIN YELLOW - LEAD WHITE GA on Parchment,CINNABAR - LEAD WHITE Glair on Paper,CINNABAR - LEAD WHITE Glair on Parchment,CINNABAR - LEAD WHITE GA on Paper,CINNABAR - LEAD WHITE GA on Parchment,GAMBOGE - MALACHITE GA on Paper,GAMBOGE - MALACHITE GA on Parchment,GAMBOGE - VERDIGRIS GA on Paper,GAMBOGE - VERDIGRIS GA on Parchment,INDIGO - ORPIMENT GA on Paper,INDIGO - ORPIMENT GA on Parchment,LEAD TIN YELLOW - LEAD WHITE Glair on Paper,LEAD TIN YELLOW - LEAD WHITE Glair on Parchment,LEAD TIN YELLOW - LEAD WHITE GA on Paper,LEAD TIN YELLOW - LEAD WHITE GA on Parchment,MINIUM - LEAD TIN YELLOW Glair on Paper,MINIUM - LEAD TIN YELLOW Glair on Parchment,MINIUM - LEAD TIN YELLOW GA on Paper,MINIUM - LEAD TIN YELLOW GA on Parchment,MALACHITE - LEAD WHITE Glair on Paper,MALACHITE - LEAD WHITE Glair on Parchment,MALACHITE - LEAD WHITE GA on Paper,MALACHITE - LEAD WHITE GA on Parchment,SAFFRON - GAMBOGE GA on Paper,SAFFRON - GAMBOGE GA on Parchment,VERDIGRIS - LEAD WHITE Glair on Paper,VERDIGRIS - LEAD WHITE Glair on Parchment,VERDIGRIS - LEAD WHITE GA on Paper,VERDIGRIS - LEAD WHITE GA on Parchment
2864.79434,1.30651,1.34584,1.25069,1.22073,1.45093,1.46923,1.6034,1.47694,1.25022,1.17149,0.966583,1.06944,1.69813,1.38239,0.817968,0.86053,1.48138,1.44785,1.40958,1.38962,1.59643,1.27091,1.13761,1.27076,0.807393,1.06944,1.41493,1.14079,0.494676,0.869604,1.78632,1.23845,1.16019,0.981424,1.56846,1.39523,1.29905,1.50775,1.22912,1.40281,1.46102,1.4564
2866.324679,1.29588,1.34839,1.25975,1.22386,1.44474,1.4524,1.63326,1.48612,1.24235,1.16589,0.969407,1.069,1.68129,1.38171,0.817538,0.860889,1.47831,1.47274,1.41072,1.39787,1.57321,1.26924,1.13756,1.26703,0.805804,1.069,1.40824,1.14861,0.496961,0.871067,1.80352,1.24234,1.16615,0.986314,1.57653,1.3923,1.2985,1.48997,1.23533,1.41498,1.47553,1.46951
2867.856654,1.28953,1.35592,1.2562,1.23448,1.42979,1.4339,1.63096,1.48266,1.22998,1.16116,0.972148,1.06974,1.65898,1.3664,0.815809,0.863529,1.46558,1.49145,1.40863,1.38779,1.53661,1.27199,1.13193,1.26466,0.802207,1.06974,1.39638,1.15662,0.500423,0.873091,1.79636,1.2467,1.16887,0.988245,1.58712,1.38609,1.30158,1.47535,1.23905,1.4195,1.49378,1.47254
2869.390267,1.28899,1.35927,1.25862,1.24411,1.41096,1.43517,1.63204,1.46983,1.22122,1.16049,0.975997,1.06839,1.62614,1.35901,0.81446,0.866111,1.4593,1.5094,1.40404,1.36822,1.49579,1.27617,1.12698,1.27334,0.801384,1.06839,1.38615,1.15916,0.503171,0.877128,1.77545,1.25458,1.16835,0.990656,1.59373,1.38105,1.30849,1.47854,1.24161,1.42292,1.50544,1.47703
2870.925521,1.28771,1.35406,1.26498,1.24982,1.40049,1.44222,1.63332,1.44165,1.22153,1.157,0.978748,1.06481,1.58975,1.35702,0.811115,0.866357,1.47127,1.51435,1.39372,1.34999,1.46251,1.27445,1.11763,1.2771,0.801765,1.06481,1.38856,1.15932,0.506051,0.880138,1.73512,1.25638,1.16479,0.991559,1.588,1.3724,1.31615,1.48011,1.24973,1.42259,1.49867,1.47261
2872.462419,1.29609,1.35634,1.27294,1.25076,1.40326,1.45251,1.6342,1.42056,1.22145,1.1559,0.982236,1.0639,1.60873,1.36267,0.807576,0.867304,1.47682,1.50722,1.38977,1.3426,1.46137,1.27116,1.11328,1.2769,0.799775,1.0639,1.3973,1.16892,0.509363,0.88207,1.71808,1.25473,1.16216,0.996878,1.5822,1.37751,1.32807,1.46522,1.2577,1.42007,1.48789,1.46502
2874.000964,1.30068,1.36029,1.27898,1.25293,1.39753,1.45737,1.61994,1.40752,1.21213,1.16183,0.985019,1.06385,1.65399,1.37425,0.804504,0.865571,1.4656,1.49794,1.39189,1.3424,1.47631,1.26711,1.11326,1.27335,0.797029,1.06385,1.39428,1.17803,0.511616,0.88364,1.7107,1.25656,1.15659,1.00377,1.57476,1.3931,1.33924,1.43535,1.26318,1.41965,1.46614,1.45745
2875.541157,1.30389,1.36574,1.28961,1.26408,1.38506,1.4634,1.59064,1.40101,1.21613,1.16979,0.989062,1.0672,1.70336,1.37812,0.804161,0.86514,1.45963,1.50153,1.39437,1.34008,1.49318,1.26936,1.11208,1.27216,0.796274,1.0672,1.39269,1.18536,0.513005,0.887268,1.68695,1.26785,1.15332,1.00919,1.58317,1.40758,1.34855,1.43466,1.27497,1.41678,1.44635,1.45056
2877.083002,1.30986,1.3613,1.30327,1.27282,1.37519,1.4569,1.5679,1.3974,1.23064,1.17224,0.989391,1.06962,1.74233,1.37228,0.803432,0.867934,1.4482,1.50388,1.39014,1.32572,1.49698,1.27418,1.11311,1.26872,0.796844,1.06962,1.38435,1.19432,0.514569,0.889916,1.64398,1.27516,1.14985,1.01057,1.58702,1.41265,1.35017,1.44299,1.2846,1.41334,1.42492,1.44461
2878.626502,1.31497,1.3457,1.32452,1.27658,1.38016,1.45795,1.57679,1.41055,1.24882,1.17404,0.987961,1.07187,1.77996,1.37397,0.802566,0.872591,1.42403,1.49568,1.38923,1.31653,1.51057,1.281,1.11288,1.26577,0.798626,1.07187,1.37576,1.20287,0.515569,0.89109,1.6288,1.27749,1.14952,1.01504,1.57536,1.41533,1.35115,1.45528,1.28506,1.4264,1.40908,1.44681
2880.171658,1.3136,1.33581,1.34032,1.27579,1.39322,1.46527,1.5836,1.43714,1.26512,1.17136,0.984827,1.07293,1.79886,1.37574,0.804866,0.874056,1.40581,1.46923,1.39193,1.31502,1.53935,1.28744,1.1076,1.26439,0.800004,1.07293,1.37531,1.20375,0.516004,0.892285,1.65887,1.26911,1.15174,1.02027,1.55562,1.41746,1.34728,1.45881,1.27976,1.42508,1.40632,1.44547
2881.718474,1.3221,1.34021,1.34387,1.27601,1.41647,1.47606,1.58048,1.45932,1.27983,1.17101,0.983181,1.07553,1.80961,1.38555,0.809478,0.873786,1.42645,1.451,1.39889,1.31814,1.55783,1.29486,1.10744,1.26938,0.805658,1.07553,1.39149,1.19831,0.516729,0.893917,1.70614,1.25397,1.15065,1.02333,1.53965,1.42492,1.34246,1.45979,1.27582,1.41552,1.42051,1.44458
